<UNK> 1.0	sil
ann 1.0	an nn 
anniversaire 1.0	aa nn ii vv ai rr ss ai rr 
année 1.0	an nn 
ano 1.0	aa nn au 
anon 1.0	aa nn on 
anon 1.0	aa nn on nn 
anparfèt 1.0	an pp aa rr 
anpil 1.0	an pp ii ll 
anplis 1.0	an pp ll ii 
anplis 1.0	an pp ll ii zz 
anrichi 1.0	an rr ii ch ii 
ansalézon 1.0	an ss aa ll 
ansanm 1.0	an ss an mm 
ansomur 1.0	an ss oo mm uu rr 
ansuit 1.0	an ss uy ii 
ansuit 1.0	an ss uy ii tt 
ansyen 1.0	an ss yy in 
ansyen 1.0	an ss yy in nn 
ansèt 1.0	an 
ansèt 1.0	an zz 
ansémoman 1.0	an 
ansémoman 1.0	an zz 
ansényèman 1.0	an 
ansényèman 1.0	an zz 
ansòt 1.0	an 
ansòt 1.0	an zz 
antan 1.0	an tt an 
antan 1.0	an tt an nn 
antil 1.0	an tt ii 
antillais 1.0	an tt ii yy ai 
antillais 1.0	an tt ii yy ai zz 
antiyèz 1.0	an tt yy ii 
antouka 1.0	an tt ou kk aa 
antrè 1.0	an tt rr 
antrè 1.0	an tt rr ee 
antré 1.0	an tt rr 
antré 1.0	an tt rr ee 
anté 1.0	an 
anté 1.0	an tt 
anvi 1.0	an vv ii 
anvlop 1.0	an vv ll au 
anvlop 1.0	an vv ll au pp 
anwé 1.0	an ww 
apa 1.0	aa pp aa 
apar 1.0	aa pp aa rr 
aparamman 1.0	aa pp aa rr aa mm an 
aparamman 1.0	aa pp aa rr aa mm an nn 
apati 1.0	aa pp aa tt ii 
aprann 1.0	aa pp rr an nn 
aprè 1.0	aa pp rr 
aprè 1.0	aa pp rr ee 
après 1.0	aa pp rr 
après 1.0	aa pp rr ee 
aprèzan 1.0	aa pp rr 
aprèzan 1.0	aa pp rr ee 
apré 1.0	aa pp rr 
apré 1.0	aa pp rr ee 
apré- 1.0	aa pp rr 
apré- 1.0	aa pp rr ee 
apréprè 1.0	aa pp rr 
apréprè 1.0	aa pp rr ee 
aprézan 1.0	aa pp rr 
aprézan 1.0	aa pp rr ee 
apéprè 1.0	aa 
apéprè 1.0	aa pp 
apò 1.0	aa 
apò 1.0	aa pp 
arivé 1.0	aa rr ii vv 
artik 1.0	aa rr tt ii kk 
arété 1.0	aa rr 
asezonman 1.0	aa ss ee zz on mm an 
asezonman 1.0	aa ss ee zz on mm an nn 
asezonman 1.0	aa ss zz on mm an 
asezonman 1.0	aa ss zz on mm an nn 
asi 1.0	aa ss ii 
asosyasyon 1.0	aa ss oo zz yy aa zz yy on 
asosyasyon 1.0	aa ss oo zz yy aa zz yy on nn 
asèzoné 1.0	aa 
asèzoné 1.0	aa ss 
asèzoné 1.0	aa zz 
asé 1.0	aa 
asé 1.0	aa ss 
asé 1.0	aa zz 
asérola 1.0	aa 
asérola 1.0	aa ss 
asérola 1.0	aa zz 
asézonman 1.0	aa 
asézonman 1.0	aa ss 
asézonman 1.0	aa zz 
atan 1.0	aa tt an 
atan 1.0	aa tt an nn 
atandan 1.0	aa tt an dd an 
atandan 1.0	aa tt an dd an nn 
atann 1.0	aa tt an nn 
atitid 1.0	aa tt ii tt ii 
atitid 1.0	aa tt ii tt ii tt 
atristé 1.0	aa tt rr ii ss tt 
au 1.0	au 
aussi 1.0	au ss ii 
autour 1.0	au tt ou rr 
autre 1.0	au tt rr 
autre 1.0	au tt rr ee 
aux 1.0	au 
aux 1.0	au zz 
avan 1.0	aa vv an 
avan 1.0	aa vv an nn 
avansé 1.0	aa vv an 
avansé 1.0	aa vv an zz 
avantou 1.0	aa vv an tt ou 
avec 1.0	aa vv ai kk 
avè 1.0	aa vv 
avèk 1.0	aa vv 
aw 1.0	aa ww 
awa 1.0	aa ww aa 
ay 1.0	aa ii 
ayay 1.0	ai yy aa ii 
ayen 1.0	ai yy in 
ayen 1.0	ai yy in nn 
ayisyen 1.0	ai yy ii zz yy in 
ayisyen 1.0	ai yy ii zz yy in nn 
ayiti 1.0	ai yy ii tt ii 
ayè 1.0	aa ii 
ba 1.0	bb aa 
ba-y 1.0	bb aa ii 
bak 1.0	bb aa kk 
bakbak 1.0	bb aa kk bb aa kk 
balon 1.0	bb aa ll on 
balon 1.0	bb aa ll on nn 
balè 1.0	bb aa ll 
ban 1.0	bb an 
ban 1.0	bb an nn 
banalisation 1.0	bb aa nn aa ll ii zz aa ss yy on 
banalisation 1.0	bb aa nn aa ll ii zz aa ss yy on nn 
bandé 1.0	bb an 
bandé 1.0	bb an tt 
bank 1.0	bb an kk 
bannann 1.0	bb aa nn an nn 
barbad 1.0	bb aa rr bb aa 
barbad 1.0	bb aa rr bb aa tt 
baril 1.0	bb aa rr ii ll 
bas 1.0	bb aa 
bas 1.0	bb aa zz 
bat 1.0	bb aa 
bat 1.0	bb aa tt 
bato 1.0	bb aa tt au 
baw 1.0	bb aa ww 
bay 1.0	bb aa ii 
baz 1.0	bb aa 
baz 1.0	bb aa zz 
ben 1.0	bb in 
ben 1.0	bb in nn 
bi 1.0	bb ii 
bibliotèk 1.0	bb ii bb ll ii yy au 
bibliotèk 1.0	bb ii bb ll ii yy au tt 
bibliotèt 1.0	bb ii bb ll ii yy au 
bibliotèt 1.0	bb ii bb ll ii yy au tt 
bidon 1.0	bb ii dd on 
bidon 1.0	bb ii dd on nn 
bien 1.0	bb yy in 
bien 1.0	bb yy in nn 
bigin 1.0	bb ii jj in 
bigin 1.0	bb ii jj in nn 
bin 1.0	bb in 
bin 1.0	bb in nn 
biten 1.0	bb ii tt ai nn 
bitin 1.0	bb ii tt in 
bitin 1.0	bb ii tt in nn 
biyè 1.0	bb yy ii 
biza 1.0	bb ii zz aa 
bizwen 1.0	bb ii zz ww ai nn 
blan 1.0	bb ll an 
blan 1.0	bb ll an nn 
blèsé 1.0	bb ll 
blèsé 1.0	bb ll ee 
blé 1.0	bb ll 
blé 1.0	bb ll ee 
bo 1.0	bb au 
boat 1.0	bb oo aa 
boat 1.0	bb oo aa tt 
bokit 1.0	bb oo kk ii 
bokit 1.0	bb oo kk ii tt 
bokou 1.0	bb oo kk ou 
bon 1.0	bb on 
bon 1.0	bb on nn 
bonne 1.0	bb oo nn 
bonnòm 1.0	bb on nn 
bouch 1.0	bb ou ch 
bouden 1.0	bb ou dd ai nn 
boug 1.0	bb ou gg 
boug 1.0	bb ou gg kk 
boukit 1.0	bb ou kk ii 
boukit 1.0	bb ou kk ii tt 
boulo 1.0	bb ou ll au 
boulèt 1.0	bb ou ll 
bourg 1.0	bb ou rr 
bourg 1.0	bb ou rr kk 
bourgeois 1.0	bb ou rr jj ww aa 
bourgeois 1.0	bb ou rr jj ww aa zz 
bout 1.0	bb ou 
bout 1.0	bb ou tt 
boutèy 1.0	bb ou 
boutèy 1.0	bb ou tt 
braké 1.0	bb rr aa kk 
bren 1.0	bb rr ai nn 
bwa 1.0	bb ww aa 
bwason 1.0	bb ww aa zz on 
bwason 1.0	bb ww aa zz on nn 
bwen 1.0	bb ww ai nn 
bwè 1.0	bb ww 
byen 1.0	bb yy in 
byen 1.0	bb yy in nn 
byento 1.0	bb yy an tt au 
bèbélé 1.0	bb ei 
bèf 1.0	bb ei 
bèl 1.0	bb ei 
bèlòt 1.0	bb ei 
bèmida 1.0	bb ei 
bényé 1.0	bb ei 
bò 1.0	bb ei 
bòdèl 1.0	bb ei 
bòn 1.0	bb ei 
c 1.0	ss ei 
c'est 1.0	kk ai ss tt 
c'est-a 1.0	kk ai ss tt aa 
cadeaux 1.0	kk aa dd au 
cadeaux 1.0	kk aa dd au zz 
canabis 1.0	kk aa nn aa bb ii 
canabis 1.0	kk aa nn aa bb ii zz 
canada 1.0	kk aa nn aa dd aa 
caraibes 1.0	kk aa rr ai bb 
caraibes 1.0	kk aa rr ai bb zz 
caraïbe 1.0	kk aa rr aa 
caraïbéen 1.0	kk aa rr aa 
carrière 1.0	kk aa rr ii 
cawo 1.0	kk aa ww au 
cd 1.0	kk 
cd 1.0	kk tt 
cela 1.0	ss ee ll aa 
cela 1.0	ss ll aa 
cendres 1.0	ss an dd rr 
cendres 1.0	ss an dd rr zz 
cent 1.0	ss an 
cent 1.0	ss an tt 
centres 1.0	ss an tt rr 
centres 1.0	ss an tt rr ee 
centres 1.0	ss an tt rr zz 
certaine 1.0	ss ai rr tt ai nn 
certains 1.0	ss ai rr tt in 
certains 1.0	ss ai rr tt in zz 
chaché 1.0	ch aa ch 
chak 1.0	ch aa kk 
chanjé 1.0	ch an jj 
chanté 1.0	ch an 
chanté 1.0	ch an tt 
chanté-y 1.0	ch an 
chanté-y 1.0	ch an tt 
charles 1.0	ch aa rr ll 
charles 1.0	ch aa rr ll zz 
chauvinisme 1.0	ch au vv ii nn ii ss mm 
chauvinisme 1.0	ch au vv ii nn ii ss mm ee 
chimen 1.0	ch ii mm ai nn 
chivè 1.0	ch ii vv 
chié 1.0	ch ii 
cho 1.0	ch au 
chomaj 1.0	ch oo mm aa jj 
chou 1.0	ch ou 
choz 1.0	ch oo 
choz 1.0	ch oo zz 
chwazi 1.0	kk ww aa zz ii 
chè 1.0	ch 
chèche 1.0	ch 
chèchè 1.0	ch 
chèché 1.0	ch 
coloniales 1.0	kk oo ll oo nn yy aa ll 
coloniales 1.0	kk oo ll oo nn yy aa ll zz 
colonisation 1.0	kk oo ll oo nn ii zz aa ss yy on 
colonisation 1.0	kk oo ll oo nn ii zz aa ss yy on nn 
comme 1.0	kk oo mm 
comment 1.0	kk oo mm an 
comment 1.0	kk oo mm an tt 
commonwealth 1.0	kk oo mm oo nn ww ai ll ss 
communauté 1.0	kk oo mm uu nn au 
communauté 1.0	kk oo mm uu nn au tt 
compte 1.0	kk on tt 
continent 1.0	kk on tt ii nn an 
continent 1.0	kk on tt ii nn an tt 
continuité 1.0	kk on tt ii nn uy ii 
continuité 1.0	kk on tt ii nn uy ii tt 
contre 1.0	kk on tt rr 
contre 1.0	kk on tt rr ee 
conténances 1.0	kk on 
conténances 1.0	kk on tt 
convient 1.0	kk on vv ii 
convient 1.0	kk on vv ii tt 
convient 1.0	kk on vv yy in 
convient 1.0	kk on vv yy in tt 
couple 1.0	kk ou pp ll 
couple 1.0	kk ou pp ll ee 
couples 1.0	kk ou pp ll 
couples 1.0	kk ou pp ll zz 
crêche 1.0	kk rr 
cuisine 1.0	kk uy ii zz ii nn 
cuisson 1.0	kk uy ii ss on 
cuisson 1.0	kk uy ii ss on nn 
cul 1.0	kk uu 
culture 1.0	kk uu ll tt uu rr 
culturelle 1.0	kk uu ll tt uu rr ai ll 
d'acteur 1.0	dd aa kk tt oe rr 
d'autre 1.0	dd au tt rr 
d'autre 1.0	dd au tt rr ee 
d'autres 1.0	dd au tt rr 
d'autres 1.0	dd au tt rr zz 
d'avoir 1.0	dd aa vv ww aa rr 
d'esprit 1.0	dd ai ss pp rr ii 
d'esprit 1.0	dd ai ss pp rr ii tt 
d'estaing 1.0	dd ai ss tt in 
d'estaing 1.0	dd ai ss tt in kk 
d'intruire 1.0	dd in tt rr uy ii rr 
dabitid 1.0	dd aa bb ii tt ii 
dabitid 1.0	dd aa bb ii tt ii tt 
dabò 1.0	dd aa bb 
dada 1.0	dd aa dd aa 
dako 1.0	dd aa kk au 
dakò 1.0	dd aa kk 
damou 1.0	dd aa mm ou 
dan 1.0	dd aa nn 
dans 1.0	dd an 
dans 1.0	dd an zz 
dansé 1.0	dd an 
dansé 1.0	dd an zz 
dansé-y 1.0	dd an 
dansé-y 1.0	dd an zz 
dantis 1.0	dd an tt ii 
dantis 1.0	dd an tt ii zz 
daprè 1.0	dd aa pp rr 
daprè 1.0	dd aa pp rr ee 
dapré 1.0	dd aa pp rr 
dapré 1.0	dd aa pp rr ee 
darivé 1.0	dd aa rr ii vv 
david 1.0	dd aa vv ii 
david 1.0	dd aa vv ii tt 
dayè 1.0	dd aa ii 
de 1.0	dd 
de 1.0	dd ee 
degizé 1.0	dd ee jj ii 
degizé 1.0	dd ee jj ii zz 
degizé 1.0	dd jj ii 
degizé 1.0	dd jj ii zz 
demen 1.0	dd ee mm ai nn 
demen 1.0	dd mm ai nn 
depi 1.0	dd ee pp ii 
depi 1.0	dd pp ii 
des 1.0	dd ei 
des 1.0	dd ei zz 
desann 1.0	dd ee zz an nn 
desann 1.0	dd zz an nn 
desant 1.0	dd ee zz an 
desant 1.0	dd ee zz an tt 
desant 1.0	dd zz an 
desant 1.0	dd zz an tt 
desklav 1.0	dd ai ss kk ll aa vv 
despò 1.0	dd ai ss pp 
despòtasyon 1.0	dd ai ss pp 
desten 1.0	dd ai ss tt ai nn 
desà 1.0	dd ei 
desà 1.0	dd ei zz 
deug 1.0	dd eu gg 
deug 1.0	dd eu gg kk 
deux 1.0	dd eu 
deux 1.0	dd eu zz 
developpement 1.0	dd ee vv ee ll oo pp ee mm an 
developpement 1.0	dd ee vv ee ll oo pp ee mm an tt 
developpement 1.0	dd ee vv ee ll oo pp mm an 
developpement 1.0	dd ee vv ee ll oo pp mm an tt 
developpement 1.0	dd ee vv ll oo pp ee mm an 
developpement 1.0	dd ee vv ll oo pp ee mm an tt 
developpement 1.0	dd ee vv ll oo pp mm an 
developpement 1.0	dd ee vv ll oo pp mm an tt 
developpement 1.0	dd vv ee ll oo pp ee mm an 
developpement 1.0	dd vv ee ll oo pp ee mm an tt 
developpement 1.0	dd vv ee ll oo pp mm an 
developpement 1.0	dd vv ee ll oo pp mm an tt 
developpement 1.0	dd vv ll oo pp ee mm an 
developpement 1.0	dd vv ll oo pp ee mm an tt 
developpement 1.0	dd vv ll oo pp mm an 
developpement 1.0	dd vv ll oo pp mm an tt 
di 1.0	dd ii 
di'w 1.0	dd ii ww 
di'y 1.0	dd yy ii 
di-w 1.0	dd ii dd ou bb ll ee vv ei 
di-w 1.0	dd ii dd ou bb ll vv ei 
di-y 1.0	dd yy ii 
dialek 1.0	dd yy aa ll ai kk 
diaspora 1.0	dd yy aa ss pp oo rr aa 
difficultés 1.0	dd ii ff ii kk uu ll 
difficultés 1.0	dd ii ff ii kk uu ll tt 
diffé 1.0	dd ii ff 
différentes 1.0	dd ii ff 
difikilté 1.0	dd ii ff ii kk ii ll 
difikilté 1.0	dd ii ff ii kk ii ll tt 
difisil 1.0	dd ii ff ii zz ii ll 
diféran 1.0	dd ii ff 
dimal 1.0	dd ii mm aa ll 
dimanch 1.0	dd ii mm an ch 
diplòm 1.0	dd ii pp ll 
diplòm 1.0	dd ii pp ll ee 
dirais 1.0	dd ii rr ai 
dirais 1.0	dd ii rr ai zz 
dire 1.0	dd ii rr 
direksyon 1.0	dd ii rr ee kk ss yy on 
direksyon 1.0	dd ii rr ee kk ss yy on nn 
direksyon 1.0	dd ii rr kk ss yy on 
direksyon 1.0	dd ii rr kk ss yy on nn 
diri 1.0	dd ii rr ii 
dirijé 1.0	dd ii rr ii jj 
dirèktèman 1.0	dd ii rr 
dirèktéman 1.0	dd ii rr 
diré-y 1.0	dd ii rr 
dis 1.0	dd ii 
dis 1.0	dd ii zz 
diskité 1.0	dd ii ss kk ii 
diskité 1.0	dd ii ss kk ii tt 
diskou 1.0	dd ii ss kk ou 
disparèt 1.0	dd ii ss pp aa rr 
dit 1.0	dd ii 
dit 1.0	dd ii tt 
ditan 1.0	dd ii tt an 
ditan 1.0	dd ii tt an nn 
dite 1.0	dd ii tt 
ditou 1.0	dd ii tt ou 
diw 1.0	dd ii ww 
dizan 1.0	dd ii zz an 
dizan 1.0	dd ii zz an nn 
diznévè 1.0	dd ii zz nn 
dizè 1.0	dd ii 
dizè 1.0	dd ii zz 
dlo 1.0	dd ll au 
do 1.0	dd au 
dodo 1.0	dd oo dd au 
dombré 1.0	dd on bb rr 
dombré 1.0	dd on bb rr ee 
dominik 1.0	dd oo mm ii nn ii kk 
dominiken 1.0	dd oo mm ii nn ii kk ai nn 
domino 1.0	dd oo mm ii nn au 
domisil 1.0	dd oo mm ii zz ii ll 
donbré 1.0	dd on bb rr 
donbré 1.0	dd on bb rr ee 
donc 1.0	dd on kk 
donk 1.0	dd on kk 
donké 1.0	dd on kk 
doron 1.0	dd oo rr on 
doron 1.0	dd oo rr on nn 
dot 1.0	dd oo tt 
dotmoun 1.0	dd oo tt mm ou nn 
dou 1.0	dd ou 
doubli 1.0	dd ou bb ll ii 
doudou 1.0	dd ou dd ou 
doudoun 1.0	dd ou dd ou nn 
dout 1.0	dd ou 
dout 1.0	dd ou tt 
douvan 1.0	dd ou vv an 
douvan 1.0	dd ou vv an nn 
douz 1.0	dd ou 
douz 1.0	dd ou zz 
drapo 1.0	dd rr aa pp au 
drès 1.0	dd rr 
drès 1.0	dd rr ee 
dréné 1.0	dd rr 
dréné 1.0	dd rr ee 
du 1.0	dd uu 
dur 1.0	dd uu rr 
dwa 1.0	dd ww aa 
dwèt 1.0	dd ww 
dwét 1.0	dd ww 
dè 1.0	dd ei 
dè 1.0	dd ei tt 
dèd 1.0	dd ei 
dèd 1.0	dd ei tt 
dènyè 1.0	dd ei 
dènyè 1.0	dd ei tt 
dèpi 1.0	dd ei 
dèpi 1.0	dd ei tt 
dèyè 1.0	dd ei 
dèyè 1.0	dd ei tt 
dé 1.0	dd ei 
dé 1.0	dd ei tt 
dé-y 1.0	dd ei 
dé-y 1.0	dd ei tt 
débandad 1.0	dd ei 
débandad 1.0	dd ei tt 
débawdè 1.0	dd ei 
débawdè 1.0	dd ei tt 
débòdéman 1.0	dd ei 
débòdéman 1.0	dd ei tt 
découverte 1.0	dd ei 
découverte 1.0	dd ei tt 
dédu 1.0	dd ei 
dédu 1.0	dd ei tt 
dédé 1.0	dd ei 
dédé 1.0	dd ei tt 
défilé 1.0	dd ei 
défilé 1.0	dd ei tt 
dégizé 1.0	dd ei 
dégizé 1.0	dd ei tt 
dégueulas 1.0	dd ei 
dégueulas 1.0	dd ei tt 
déja 1.0	dd ei 
déja 1.0	dd ei tt 
déjéné 1.0	dd ei 
déjéné 1.0	dd ei tt 
déjénéré 1.0	dd ei 
déjénéré 1.0	dd ei tt 
dékonsantrasyon 1.0	dd ei 
dékonsantrasyon 1.0	dd ei tt 
dékouvèt 1.0	dd ei 
dékouvèt 1.0	dd ei tt 
délenkan 1.0	dd ei 
délenkan 1.0	dd ei tt 
délir 1.0	dd ei 
délir 1.0	dd ei tt 
délè 1.0	dd ei 
délè 1.0	dd ei tt 
démand 1.0	dd ei 
démand 1.0	dd ei tt 
démografi 1.0	dd ei 
démografi 1.0	dd ei tt 
démontré 1.0	dd ei 
démontré 1.0	dd ei tt 
dépa 1.0	dd ei 
dépa 1.0	dd ei tt 
dépann 1.0	dd ei 
dépann 1.0	dd ei tt 
dépendance 1.0	dd ei 
dépendance 1.0	dd ei tt 
dépi 1.0	dd ei 
dépi 1.0	dd ei tt 
dérivé 1.0	dd ei 
dérivé 1.0	dd ei tt 
désann 1.0	dd ei 
désann 1.0	dd ei tt 
désen 1.0	dd ei 
désen 1.0	dd ei tt 
désidé 1.0	dd ei 
désidé 1.0	dd ei tt 
désirad 1.0	dd ei 
désirad 1.0	dd ei tt 
désizyon 1.0	dd ei 
désizyon 1.0	dd ei tt 
détay 1.0	dd ei 
détay 1.0	dd ei tt 
détaymè 1.0	dd ei 
détaymè 1.0	dd ei tt 
détayé 1.0	dd ei 
détayé 1.0	dd ei tt 
développement 1.0	dd ei 
développement 1.0	dd ei tt 
dévlopman 1.0	dd ei 
dévlopman 1.0	dd ei tt 
dévlopé 1.0	dd ei 
dévlopé 1.0	dd ei tt 
dévyé 1.0	dd ei 
dévyé 1.0	dd ei tt 
déwò 1.0	dd ei 
déwò 1.0	dd ei tt 
dézan 1.0	dd ei 
dézan 1.0	dd ei tt 
dézièm 1.0	dd ei 
dézièm 1.0	dd ei tt 
dézyèm 1.0	dd ei 
dézyèm 1.0	dd ei tt 
dézyèman 1.0	dd ei 
dézyèman 1.0	dd ei tt 
dézè 1.0	dd ei 
dézè 1.0	dd ei tt 
dòmi 1.0	dd ei 
dòmi 1.0	dd ei tt 
dòt 1.0	dd ei 
dòt 1.0	dd ei tt 
e 1.0	ee 
e; 1.0	?? ?? 
effectivement 1.0	ei ff ai kk tt ii vv ee mm an 
effectivement 1.0	ei ff ai kk tt ii vv ee mm an tt 
effectivement 1.0	ei ff ai kk tt ii vv mm an 
effectivement 1.0	ei ff ai kk tt ii vv mm an tt 
effectivemnt 1.0	ei ff ai kk tt ii vv an nn 
effectivemnt 1.0	ei ff ai kk tt ii vv an nn tt 
egzanp 1.0	ai gg zz an pp 
eksépsyonèlman 1.0	ai kk 
eksépsyonèlman 1.0	ai kk zz 
ekzakteman 1.0	ai gg zz aa kk tt ee mm an 
ekzakteman 1.0	ai gg zz aa kk tt ee mm an nn 
ekzakteman 1.0	ai gg zz aa kk tt mm an 
ekzakteman 1.0	ai gg zz aa kk tt mm an nn 
ekzamen 1.0	ai gg zz aa mm ai nn 
ekzamp 1.0	ai gg zz an pp 
ekzanp 1.0	ai gg zz an pp 
ekzat 1.0	ai gg zz aa 
ekzat 1.0	ai gg zz aa tt 
ekzisté 1.0	ai gg zz ii ss tt 
en 1.0	an 
en 1.0	an nn 
enben 1.0	an bb ai nn 
enbè 1.0	an bb 
enclave 1.0	an kk ll aa vv 
endistriyalizé 1.0	an dd ii ss tt rr ii yy aa ll ii 
endistriyalizé 1.0	an dd ii ss tt rr ii yy aa ll ii zz 
endépandan 1.0	ai nn dd 
endépandan 1.0	ai nn dd tt 
enfants 1.0	an ff an 
enfants 1.0	an ff an zz 
enfeksyon 1.0	an ff ee kk ss yy on 
enfeksyon 1.0	an ff ee kk ss yy on nn 
enfeksyon 1.0	an ff kk ss yy on 
enfeksyon 1.0	an ff kk ss yy on nn 
enfen 1.0	an ff ai nn 
enfin 1.0	an ff in 
enfin 1.0	an ff in nn 
enfèt 1.0	an ff 
enfòmasyon 1.0	an ff 
enki 1.0	an kk ii 
enpa 1.0	an pp aa 
enprovizé 1.0	an pp rr oo vv ii 
enprovizé 1.0	an pp rr oo vv ii zz 
enpé 1.0	an pp 
enpòtan 1.0	an pp 
enpòté 1.0	an pp 
ensidans 1.0	an ss ii dd an 
ensidans 1.0	an ss ii dd an zz 
enskri 1.0	an ss kk rr ii 
enstri 1.0	an ss tt rr ii 
enstriman 1.0	an ss tt rr ii mm an 
enstriman 1.0	an ss tt rr ii mm an nn 
ensuite 1.0	an ss uy ii tt 
entre 1.0	an tt rr 
entre 1.0	an tt rr ee 
entrigé 1.0	an tt rr ii gg 
entrigé 1.0	an tt rr ii gg kk 
entrisman 1.0	an tt rr ii ss mm an 
entrisman 1.0	an tt rr ii ss mm an nn 
entrodui 1.0	an tt rr oo dd uy ii 
entèl 1.0	an 
entèl 1.0	an tt 
entèltyél 1.0	an 
entèltyél 1.0	an tt 
entèprétarya 1.0	an 
entèprétarya 1.0	an tt 
entégré 1.0	an 
entégré 1.0	an tt 
entérè 1.0	an 
entérè 1.0	an tt 
entérésan 1.0	an 
entérésan 1.0	an tt 
entérésé 1.0	an 
entérésé 1.0	an tt 
envité 1.0	an vv ii 
envité 1.0	an vv ii tt 
envitéw 1.0	an vv ii 
envitéw 1.0	an vv ii tt 
eskizé 1.0	ai ss kk ii 
eskizé 1.0	ai ss kk ii zz 
esklav 1.0	ai ss kk ll aa vv 
eskprimé-y 1.0	ai ss kk pp rr ii mm 
eskè 1.0	ai ss kk 
eskè 1.0	ai ss kk ee 
eské 1.0	ai ss kk 
eské 1.0	ai ss kk ee 
espliké 1.0	ai ss pp ll ii kk 
espré 1.0	ai ss pp rr 
espré 1.0	ai ss pp rr ee 
espéryans 1.0	ai ss pp 
espéré 1.0	ai ss pp 
espésyalman 1.0	ai ss pp 
espòté 1.0	ai ss pp 
espòté-y 1.0	ai ss pp 
est 1.0	ai ss tt 
