# gunzip -c exp/tri2_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:50:34 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 13.6607142857% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 36.8786629043% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 81.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
At utterance end, kk_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
At utterance end, ll_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,14) frames.
At utterance end, rr_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.9,27) frames.
At utterance end, sil_S accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,17.9,63) frames.
At utterance end, ff_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.7,43) frames.
At utterance end, zz_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.4,27) frames.
At utterance end, in_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,22) frames.
At utterance end, vv_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,14) frames.
At utterance end, an_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,25) frames.
Overall, nonsilence accounts for 81.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.9,18) frames.
Overall, SIL accounts for 15.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.7,49) frames.
Overall, aa_E accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,23) frames.
Overall, kk_B accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,11) frames.
Overall, ii_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,23) frames.
Overall, ai_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.0,13) frames.
Overall, pp_B accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, aa_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, sil_S accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,24.3,75) frames.
Overall, ii_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,12) frames.
Overall, nn_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.5,36) frames.
Overall, ou_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.1,26) frames.
Overall, dd_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,13) frames.
Overall, tt_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,11) frames.
Overall, ei_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.7,19) frames.
Overall, nn_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,16) frames.
Overall, rr_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, ll_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, an_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,14) frames.
Overall, ss_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,17) frames.
Overall, mm_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, tt_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,17) frames.
Overall, ll_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, au_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,28) frames.
Overall, ss_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,16) frames.
Overall, an_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.5,21) frames.
Overall, ou_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,14) frames.
Overall, ai_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,10) frames.
Overall, ww_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, oo_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, bb_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, mm_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.4,23) frames.
Overall, tt_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,19) frames.
Overall, aa_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,20) frames.
Overall, rr_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,30) frames.
Overall, on_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,18) frames.
Overall, ss_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,16) frames.
Overall, dd_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, ll_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, an_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.2,27) frames.
Overall, an_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,21) frames.
Overall, vv_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, zz_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,21) frames.
Overall, yy_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, kk_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,16) frames.
Overall, aa_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.2,51) frames.
Overall, kk_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
Overall, ee_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.8,27) frames.
Overall, mm_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.6,13) frames.
Overall, ff_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.3,34) frames.
Overall, zz_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,23) frames.
Overall, jj_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.8,17) frames.
Overall, on_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.3,19) frames.
The optional-silence phone SIL occupies 27.0% of frames overall 
Limiting the stats to the 30.8% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.8 hours of data, or 0.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 12 17:50:34 CET 2021, elapsed time 0 seconds
