# gunzip -c exp/tri5a_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 16:44:35 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 48.4848484848% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 32.3232323232% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 48.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,19.1,52) frames.
Overall, nn_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.6,32) frames.
Overall, ss_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.0,17) frames.
Overall, ss_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, aa_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.5,30) frames.
Overall, tt_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.3,15) frames.
Overall, mm_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.0,25) frames.
Overall, au_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.1,20) frames.
Overall, rr_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.9,14) frames.
Overall, dd_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,10.5,29) frames.
Overall, sil_S accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (15,32.6,66) frames.
Overall, an_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.0,20) frames.
Overall, ll_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.0,20) frames.
Overall, an_S accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,25) frames.
Overall, ai_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.2,18) frames.
Overall, ww_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.1,17) frames.
Overall, tt_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,17) frames.
Overall, mm_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.4,32) frames.
Overall, ou_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.1,20) frames.
Overall, ei_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.3,33) frames.
Overall, an_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,13.7,33) frames.
Overall, ll_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.2,17) frames.
Overall, dd_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.0,25) frames.
Overall, ll_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.6,10) frames.
Overall, yy_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.4,31) frames.
Overall, on_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,18.2,45) frames.
Overall, ou_S accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,16) frames.
Overall, bb_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,14.5,47) frames.
Overall, oo_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.5,36) frames.
Overall, kk_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.2,15) frames.
Overall, ff_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.2,18) frames.
Overall, mm_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.4,21) frames.
Overall, on_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,15.5,42) frames.
Overall, ss_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.5,17) frames.
Overall, gg_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,15.6,49) frames.
Overall, jj_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.8,23) frames.
Overall, rr_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,16.3,45) frames.
Overall, vv_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,13.6,36) frames.
Overall, kk_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.7,19) frames.
Overall, an_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,11.1,29) frames.
Overall, bb_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.1,26) frames.
Overall, on_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.1,14) frames.
Overall, tt_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,16) frames.
Overall, yy_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,12.9,24) frames.
Overall, pp_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.7,16) frames.
Overall, aa_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,15.0,34) frames.
Overall, ii_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.3,8) frames.
The optional-silence phone SIL occupies 16.0% of frames overall 
Limiting the stats to the 87.1% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 11.3% of frames.
Assuming 100 frames per second, the alignments represent 0.1 hours of data, or 0.1 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 7.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (12,17.2,37)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 12 16:44:35 CET 2021, elapsed time 0 seconds
