# gunzip -c exp/tri3a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:52:48 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 12.0337301587% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 35.5349344978% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 82.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, nn_E accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.7,34) frames.
Overall, ou_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,26) frames.
Overall, dd_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,13) frames.
Overall, tt_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, ei_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.9,21) frames.
Overall, nn_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
Overall, rr_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, ll_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,10) frames.
Overall, an_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
Overall, ss_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,18) frames.
Overall, mm_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, tt_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,17) frames.
Overall, au_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,29) frames.
Overall, ll_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,9) frames.
Overall, ss_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,17) frames.
Overall, an_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,21) frames.
Overall, ou_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,13) frames.
Overall, ai_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.8,10) frames.
Overall, ww_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,13) frames.
Overall, oo_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, tt_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,19) frames.
Overall, bb_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, mm_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.9,24) frames.
Overall, on_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,18) frames.
Overall, rr_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.1,30) frames.
Overall, aa_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,20) frames.
Overall, ss_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,15) frames.
Overall, ll_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, dd_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,13) frames.
Overall, an_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,29) frames.
Overall, an_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,21) frames.
Overall, vv_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,14) frames.
Overall, zz_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.5,21) frames.
Overall, yy_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, kk_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,17) frames.
Overall, aa_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.4,51) frames.
Overall, kk_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
Overall, mm_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, ee_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.0,28) frames.
Overall, ff_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.8,36) frames.
Overall, zz_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,23) frames.
Overall, jj_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,17) frames.
Overall, on_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,19) frames.
The optional-silence phone SIL occupies 25.8% of frames overall 
Limiting the stats to the 30.6% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.8 hours of data, or 0.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 12 17:52:48 CET 2021, elapsed time 0 seconds
