# gunzip -c exp/tri4a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 15:00:39 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 49.465648855% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 53.059613107% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 49.5% of phone occurrences, with duration (median, mean, 95-percentile) is (33,44.7,134) frames.
At utterance begin, mm_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,23.6,54) frames.
At utterance begin, ɑ̃_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.9,22) frames.
At utterance begin, ɑ_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.6,15) frames.
At utterance begin, tt_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,10) frames.
At utterance begin, yy_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.6,24) frames.
At utterance begin, ss_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.2,14) frames.
At utterance begin, ll_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,14) frames.
At utterance begin, kk_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,15) frames.
At utterance begin, nn_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,17) frames.
At utterance begin, l_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.9,11) frames.
At utterance begin, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,8) frames.
At utterance begin, ɛ_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.7,10) frames.
At utterance begin, dd_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,16) frames.
At utterance end, SIL accounts for 53.1% of phone occurrences, with duration (median, mean, 95-percentile) is (29,48.4,152) frames.
At utterance end, nonsilence accounts for 43.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,17.0,47) frames.
At utterance end, aa_E accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.0,32) frames.
At utterance end, SPN_S accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (45,44.7,75) frames.
At utterance end, ii_E accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.9,56) frames.
At utterance end, e_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (20,19.0,34) frames.
At utterance end, ei_S accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (31,30.5,55) frames.
At utterance end, ei_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,21.4,43) frames.
At utterance end, nn_E accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.1,30) frames.
At utterance end, mm_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,20.5,49) frames.
At utterance end, ɑ_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.6,15) frames.
At utterance end, n_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.4,11) frames.
At utterance end, ai_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (19,21.8,51) frames.
At utterance end, e_S accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,14.3,44) frames.
At utterance end, ou_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,18.3,38) frames.
At utterance end, i_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.4,43) frames.
At utterance end, an_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,21) frames.
At utterance end, ɛ_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,21.0,54) frames.
At utterance end, m_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,12.6,51) frames.
At utterance end, z_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (19,16.8,30) frames.
At utterance end, o_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (27,33.9,87) frames.
At utterance end, vv_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,14) frames.
Overall, nonsilence accounts for 91.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.1,24) frames.
Overall, SIL accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (25,38.1,119) frames.
Overall, e_E accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.7,30) frames.
Overall, aa_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.6,30) frames.
Overall, k_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,14) frames.
Overall, kk_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, ii_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.7,37) frames.
Overall, i_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.6,27) frames.
Overall, ei_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,15.2,60) frames.
Overall, ɑ_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,22) frames.
Overall, aa_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,21) frames.
Overall, p_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, i_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,16) frames.
Overall, s_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,21) frames.
Overall, pp_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,12) frames.
Overall, n_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.4,16) frames.
Overall, ii_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.8,16) frames.
Overall, nn_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.9,34) frames.
Overall, ʁ_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,12) frames.
Overall, ɛ_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.2,19) frames.
Overall, nn_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,24) frames.
Overall, SPN_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (20,25.6,68) frames.
Overall, ɑ_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,16) frames.
Overall, t_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, t_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,15) frames.
Overall, ll_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,13) frames.
Overall, ou_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.6,32) frames.
Overall, ss_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,21) frames.
Overall, ɛ_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.3,31) frames.
Overall, ai_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,20) frames.
Overall, ai_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.4,33) frames.
Overall, mm_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.9,27) frames.
Overall, rr_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.9,25) frames.
Overall, m_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.0,15) frames.
Overall, ɑ̃_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,17) frames.
Overall, d_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,15) frames.
Overall, tt_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,17) frames.
Overall, l_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.9,24) frames.
Overall, ll_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, ww_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,18) frames.
Overall, u_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, au_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,19) frames.
Overall, ɔ_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,13) frames.
Overall, e_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.0,16) frames.
Overall, dd_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, an_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,24) frames.
Overall, tt_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,16) frames.
Overall, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,8.2,28) frames.
Overall, ei_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.1,40) frames.
Overall, s_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,18) frames.
Overall, e_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.9,40) frames.
Overall, ei_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,40.9,103) frames.
Overall, z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,19) frames.
Overall, an_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.1,34) frames.
Overall, ou_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,21) frames.
Overall, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,12) frames.
Overall, yy_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,17) frames.
Overall, m_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,14) frames.
Overall, ɔ̃_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,20) frames.
Overall, dd_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, j_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.0,17) frames.
Overall, an_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.5,34) frames.
Overall, oo_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.6,20) frames.
Overall, aa_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,22) frames.
Overall, d_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.7,13) frames.
Overall, zz_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,20) frames.
Overall, v_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,18) frames.
Overall, w_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,6.6,22) frames.
Overall, ɑ̃_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.1,22) frames.
Overall, ɑ̃_S accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,20) frames.
Overall, b_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.2,11) frames.
The optional-silence phone SIL occupies 25.3% of frames overall 
Limiting the stats to the 77.7% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 10.9% of frames.
Assuming 100 frames per second, the alignments represent 2.0 hours of data, or 1.5 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 3.8% of utterance-internal phones, with duration (median, mean, 95-percentile) = (19,28.0,86)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 12 15:00:39 CET 2021, elapsed time 0 seconds
