# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Fri Mar 12 17:38:31 CET 2021
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 14.6626984127% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 38.2174572233% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 80.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, aa_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,16) frames.
Overall, sil_S accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,24.0,75) frames.
Overall, ii_I accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,11) frames.
Overall, nn_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.3,36) frames.
Overall, ou_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,25) frames.
Overall, dd_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,13) frames.
Overall, tt_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, ei_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.4,19) frames.
Overall, nn_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,16) frames.
Overall, rr_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.4,10) frames.
Overall, ll_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,10) frames.
Overall, an_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,15) frames.
Overall, ss_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
Overall, mm_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, tt_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,17) frames.
Overall, au_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,28) frames.
Overall, ll_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, ss_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,17) frames.
Overall, an_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,19) frames.
Overall, ou_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,15) frames.
Overall, ai_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,11) frames.
Overall, ww_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
Overall, oo_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, bb_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,11) frames.
Overall, mm_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,20) frames.
Overall, tt_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, aa_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.9,19) frames.
Overall, rr_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.7,30) frames.
Overall, ss_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,16) frames.
Overall, on_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,19) frames.
Overall, dd_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,12) frames.
Overall, ll_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,11) frames.
Overall, an_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.1,27) frames.
Overall, vv_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,14) frames.
Overall, an_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,20) frames.
Overall, zz_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.0,21) frames.
Overall, yy_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,14) frames.
Overall, kk_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, aa_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.9,49) frames.
Overall, ee_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.9,27) frames.
Overall, kk_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,14) frames.
Overall, mm_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
Overall, ff_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.5,32) frames.
Overall, zz_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,23) frames.
Overall, on_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,19) frames.
Overall, jj_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,20) frames.
The optional-silence phone SIL occupies 28.0% of frames overall 
Limiting the stats to the 30.9% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 0.0% of frames.
Assuming 100 frames per second, the alignments represent 0.8 hours of data, or 0.6 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 0.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (0,0.0,0)
# Accounting: time=0 threads=1
# Ended (code 0) at Fri Mar 12 17:38:31 CET 2021, elapsed time 0 seconds
